# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
1,23.31,25.73,19.17,23.95,8,288.48,125.44,939.47,0
2,24.31,25.58,22.76,25.81,7,289.02,151.25,948.86,0
3,23.37,26.76,19.86,26.35,6,289.79,177.60,958.35,0
4,23.45,26.12,19.64,24.72,5,289.33,202.32,967.93,0
5,27.79,26.17,23.15,24.56,4,289.53,226.87,977.61,0
6,32.51,26.73,24.23,26.41,3,289.70,253.29,987.39,0
7,32.22,27.83,24.07,24.36,2,289.27,277.64,997.26,0
8,35.02,27.70,27.60,24.20,1,287.59,14.25,1007.23,1
9,33.99,28.35,28.76,25.42,1,285.99,39.67,1007.21,0
10,34.49,27.34,25.51,25.29,1,282.95,64.96,1007.18,0
11,32.08,27.31,29.00,26.64,1,283.18,91.60,1007.15,0
12,30.99,27.28,26.22,25.37,1,279.60,116.97,1007.12,0
13,32.77,25.60,25.61,26.73,1,278.72,143.71,1007.09,0
14,25.69,26.24,24.38,25.70,1,278.42,169.41,1007.06,0
15,28.59,23.55,25.28,25.78,1,279.44,195.19,1007.04,0
16,34.18,25.07,30.39,24.12,1,279.58,219.31,1007.01,0
17,37.78,26.06,26.70,26.39,1,274.12,245.70,1006.98,0
18,39.46,25.04,31.92,25.85,6,273.90,271.54,957.93,0
19,28.75,24.20,25.95,25.24,5,273.74,296.78,967.50,0
20,24.22,25.05,20.43,23.59,4,274.50,320.37,977.18,0
21,24.27,24.87,19.45,24.22,3,274.40,344.59,986.95,0
22,29.23,23.53,20.12,25.78,2,274.49,370.37,996.82,0
23,37.76,23.73,29.13,25.95,1,276.05,396.31,1006.79,0
24,35.53,24.09,29.37,26.76,50,275.75,423.08,617.02,0
25,35.47,24.29,29.16,26.66,49,276.82,449.74,623.19,0
26,31.57,25.07,25.83,27.21,48,277.79,476.95,629.42,0
27,26.66,26.03,22.10,26.73,47,277.99,503.68,635.71,0
28,23.38,24.38,22.50,25.01,46,277.15,528.69,642.07,0
29,27.90,25.70,24.87,24.73,45,278.05,553.42,648.49,0
30,24.93,24.84,24.21,24.02,44,277.58,577.44,654.98,0
31,24.98,25.56,20.48,22.10,43,278.02,599.54,661.53,0
32,26.98,25.81,23.71,25.89,42,277.71,625.44,668.14,0
33,25.83,24.67,22.30,26.67,41,277.09,652.11,674.82,0
34,24.68,25.54,24.41,25.55,40,277.67,677.66,681.57,0
35,26.42,24.90,21.98,23.51,39,277.34,701.17,688.39,0
36,30.32,25.47,24.68,23.85,38,277.69,725.02,695.27,0
37,31.06,24.98,24.95,24.45,37,277.44,749.47,702.22,0
38,26.15,25.21,25.64,22.05,36,277.71,771.52,709.25,0
39,27.36,24.94,23.99,22.85,35,277.75,794.37,716.34,0
40,25.40,25.66,21.58,22.98,34,278.09,817.34,723.50,0
41,26.41,24.18,22.85,22.37,33,277.67,839.71,730.74,0
42,26.27,24.12,21.90,20.96,32,278.85,860.68,738.04,0
43,28.07,24.06,22.04,21.43,31,280.20,601.90,745.42,1
44,27.30,24.79,25.62,22.56,30,281.75,342.72,752.88,1
45,32.35,25.76,21.04,24.98,29,282.65,85.04,760.41,1
46,35.13,27.04,23.25,26.29,28,282.58,111.33,768.01,0
47,34.81,26.15,31.78,27.99,27,281.09,139.32,775.69,0
48,34.99,26.53,31.01,28.42,26,280.44,167.74,783.45,0
49,30.16,25.50,24.98,27.02,25,279.30,194.76,791.28,0
50,31.42,24.76,26.71,28.01,24,279.18,222.77,799.20,0
51,25.77,26.01,23.50,25.58,23,279.86,248.35,807.19,0
52,26.16,24.74,25.81,24.75,22,279.24,273.10,815.26,0
53,25.21,25.38,20.19,25.36,21,279.94,18.52,823.41,1
54,29.26,24.59,26.03,25.46,20,280.02,43.98,831.65,0
55,35.03,24.25,27.94,27.74,19,280.98,71.72,839.96,0
56,29.98,24.39,24.32,24.80,18,282.40,96.51,848.36,0
57,23.49,25.54,19.73,24.40,17,283.81,120.91,856.85,0
58,27.09,25.65,26.53,26.55,16,284.09,147.46,865.42,0
59,24.93,25.39,25.47,25.94,15,284.28,173.40,874.07,0
60,27.57,25.03,25.12,26.25,14,284.78,199.65,882.81,0
61,32.96,24.76,25.16,25.73,13,285.72,225.38,891.64,0
62,27.64,25.78,24.85,23.38,12,287.06,248.76,900.55,0
63,29.30,26.26,25.75,23.18,11,287.41,271.94,909.56,0
64,26.16,27.32,23.81,24.23,10,287.27,8.90,918.66,1
65,26.05,28.15,22.79,25.72,9,285.95,34.62,927.84,0
66,26.14,28.80,23.11,24.73,8,283.58,59.35,937.12,0
67,24.90,27.11,20.55,24.37,7,280.26,83.72,946.49,0
68,23.15,26.44,19.98,25.45,6,278.46,109.16,955.96,0
69,19.79,24.84,17.50,24.76,5,277.22,133.92,965.52,0
70,19.46,25.70,15.35,23.85,4,277.61,157.77,975.17,0
71,16.20,25.34,17.09,23.02,3,277.11,180.79,984.92,0
72,18.17,24.53,18.19,24.21,2,276.94,205.00,994.77,0
73,27.85,26.21,24.23,25.92,1,277.65,230.91,1004.72,0
74,23.51,25.69,22.46,26.07,1,278.76,256.98,1004.67,0
75,27.50,25.57,25.00,26.64,1,281.93,1.69,1004.61,1
76,29.24,25.28,24.10,27.02,1,282.63,28.71,1004.56,0
77,25.75,25.67,26.15,26.21,1,284.38,54.91,1004.51,0
78,28.43,25.50,27.24,26.00,1,284.05,80.91,1004.45,0
79,22.26,23.85,19.24,24.95,1,282.49,105.86,1004.40,0
80,23.75,23.64,23.64,25.22,1,289.57,131.08,1004.34,0
81,23.49,24.17,19.41,24.95,1,292.52,156.03,1004.28,0
82,28.15,23.22,23.70,25.51,1,300.42,181.55,1004.23,0
83,29.02,25.14,25.07,23.36,1,304.39,204.90,1004.17,0
84,18.14,24.42,20.72,23.77,1,307.26,228.67,1004.11,0
85,21.47,23.16,18.37,23.70,1,315.18,252.37,1004.05,0
86,27.90,24.32,23.02,24.95,1,326.49,277.32,1003.99,0
87,32.80,23.92,25.19,23.35,1,333.82,300.67,1003.93,0
88,36.92,23.93,29.45,23.79,1,339.49,324.46,1003.87,0
89,45.09,24.18,36.46,26.90,1,341.05,10.31,1003.81,1
90,45.85,25.37,38.08,27.68,1,335.04,38.00,1003.75,0
91,41.27,23.08,35.78,27.71,1,326.66,65.71,1003.68,0
92,37.39,22.94,29.76,28.63,1,319.97,94.34,1003.62,0
93,45.17,23.42,35.33,28.48,1,319.23,122.82,1003.56,0
94,40.05,23.74,30.59,27.02,1,312.29,149.84,1003.49,0
95,35.98,22.62,26.93,26.51,1,309.87,176.35,1003.43,0
96,39.46,23.28,34.37,26.49,1,311.24,202.84,1003.36,0
97,38.98,24.61,33.24,27.09,1,304.55,229.92,1003.30,0
98,41.93,24.73,31.85,27.20,1,298.45,257.13,1003.23,0
99,35.14,24.05,27.09,27.38,1,293.26,284.51,1003.16,0
100,34.92,24.57,27.63,26.68,1,292.78,18.40,1003.09,1
101,36.69,24.74,29.86,25.35,1,291.67,43.75,1003.02,0
102,39.15,23.83,32.51,26.49,1,288.00,70.23,1002.95,0
103,37.66,23.96,30.51,27.56,1,281.04,97.79,1002.88,0
104,40.90,25.01,32.01,27.34,92,280.34,125.14,401.20,0
105,35.46,26.28,31.59,29.02,91,280.87,154.16,405.22,0
106,30.35,27.67,26.66,27.37,90,280.05,181.53,409.27,0
107,27.84,26.62,23.26,24.79,89,277.61,206.32,413.36,0
108,28.48,25.53,25.17,25.91,88,276.09,232.23,417.49,0
109,28.13,25.62,24.99,23.14,87,275.61,255.37,421.67,0
110,27.41,23.72,22.39,23.69,86,274.99,279.06,425.89,0
111,31.46,24.86,24.10,24.94,85,276.40,303.99,430.14,0
112,32.15,23.90,27.10,26.34,84,276.69,330.33,434.45,0
113,30.99,24.56,24.85,25.94,83,278.07,356.27,438.79,0
114,28.71,23.52,22.18,23.35,82,278.86,379.62,443.18,0
115,25.44,23.83,20.19,23.44,81,280.87,122.20,447.61,1
116,25.56,24.30,23.08,23.11,80,282.75,145.31,452.09,0
117,26.22,25.61,22.13,25.17,79,284.29,170.47,456.61,0
118,25.03,26.88,23.81,24.60,78,284.55,195.08,461.17,0
119,23.96,26.51,21.58,24.25,77,283.43,219.32,465.78,0
120,26.35,25.72,19.24,23.13,76,282.61,242.45,470.44,0
121,24.36,26.01,23.60,22.74,75,282.58,265.18,475.15,0
122,28.58,25.54,22.71,24.52,74,282.22,7.48,479.90,1
123,30.72,25.99,22.87,22.27,73,282.35,29.75,484.70,0
124,28.52,28.31,24.10,22.70,72,281.99,52.45,489.54,0
125,27.81,26.11,25.70,24.48,71,279.05,76.93,494.44,0
126,31.23,25.84,26.18,25.61,70,278.24,102.53,499.38,0
127,36.39,25.76,31.51,26.75,69,277.63,129.29,504.38,0
128,31.49,25.20,24.65,25.23,68,277.06,154.52,509.42,0
129,30.96,25.88,26.13,26.76,67,277.04,181.28,514.52,0
130,29.35,25.71,24.44,27.99,66,276.27,209.27,519.66,0
131,21.66,25.18,16.17,25.36,65,275.62,234.63,524.86,0
132,13.35,25.33,10.67,25.26,64,275.49,259.89,530.11,0
133,10.52,23.22,9.46,27.06,63,275.18,286.95,535.41,0
134,15.05,23.79,15.77,25.72,62,277.15,312.67,540.76,0
135,17.96,25.77,16.68,25.68,61,278.70,338.34,546.17,0
136,16.80,25.15,20.67,24.70,60,278.23,363.04,551.63,0
137,19.16,24.66,15.59,22.97,59,278.39,386.01,557.15,0
138,21.87,25.59,23.06,22.82,58,279.10,408.83,562.72,0
139,29.41,26.23,22.13,24.75,57,278.86,433.58,568.35,0
140,29.59,25.44,24.80,23.37,56,277.90,456.95,574.03,0
141,28.53,25.63,24.29,24.15,55,277.71,481.10,579.77,0
142,26.43,25.41,22.60,23.33,54,277.28,504.44,585.57,0
143,26.42,26.35,20.28,24.90,53,277.06,529.34,591.42,0
144,24.93,26.12,25.45,23.99,52,275.78,553.32,597.34,0
145,27.84,25.53,21.79,24.36,51,274.63,577.69,603.31,0
146,24.55,25.21,22.61,22.32,50,274.01,600.01,609.34,0
147,30.92,24.36,24.63,26.22,49,273.68,626.23,615.44,0
148,30.36,24.54,27.99,26.21,48,274.25,652.43,621.59,0
149,31.42,23.58,24.55,26.46,47,274.68,678.90,627.81,0
150,31.91,25.29,23.94,25.27,46,276.21,704.16,634.09,0
151,31.82,24.03,26.03,25.61,45,276.01,729.78,640.43,0
152,28.96,24.67,24.73,26.69,44,277.18,756.47,646.83,0
153,28.49,24.61,25.86,27.09,43,277.76,783.56,653.30,0
154,27.96,23.66,22.47,26.65,42,278.47,810.21,659.83,0
155,32.06,24.90,25.87,26.47,41,280.29,556.39,666.43,1
156,29.13,21.90,26.54,27.10,40,280.93,302.57,673.09,1
157,26.94,23.73,24.36,25.17,39,284.92,42.82,679.83,1
158,27.26,26.56,20.59,24.88,38,287.31,67.70,686.62,0
159,28.46,27.15,25.68,21.76,37,286.82,89.46,693.49,0
160,26.93,26.96,21.67,23.09,36,285.64,112.56,700.42,0
161,28.32,27.98,22.73,23.05,35,284.55,135.61,707.43,0
162,23.91,26.86,19.55,22.26,34,282.22,157.87,714.50,0
163,22.30,24.86,19.87,21.77,33,280.90,179.64,721.65,0
164,27.19,24.71,21.57,22.77,32,281.65,202.41,728.86,0
165,29.65,25.40,22.21,23.96,31,282.62,226.36,736.15,0
166,25.98,27.17,21.31,27.74,30,282.94,254.11,743.51,0
167,30.10,27.49,25.38,26.58,29,281.35,280.69,750.95,0
168,32.00,27.37,26.78,26.51,28,279.25,27.95,758.46,1
169,35.90,28.00,30.64,24.34,27,277.07,52.29,766.04,0
170,33.83,26.83,29.93,24.44,26,273.99,76.73,773.70,0
171,31.27,25.81,24.84,26.28,25,271.88,103.00,781.44,0
172,31.10,26.08,27.31,26.77,24,270.67,129.77,789.26,0
173,27.81,23.83,23.77,24.98,23,269.05,154.75,797.15,0
174,29.38,25.28,23.32,24.77,22,269.75,179.52,805.12,0
175,25.60,24.18,24.21,25.29,21,268.91,204.81,813.17,0
176,25.05,25.13,20.85,23.92,20,269.20,228.73,821.30,0
177,23.07,25.09,21.48,23.76,19,268.48,252.49,829.52,0
178,25.45,24.48,18.80,24.56,18,267.73,277.05,837.81,0
179,21.53,24.55,18.92,24.54,17,267.57,301.59,846.19,0
180,26.60,25.50,24.11,23.88,16,267.32,325.48,854.65,0
181,23.78,25.22,21.40,23.05,15,266.00,348.52,863.20,0
182,30.95,24.36,23.51,24.43,14,264.85,372.95,871.83,0
183,32.04,24.20,26.74,22.91,13,264.55,395.87,880.55,0
184,35.02,22.59,28.57,22.50,12,264.38,418.37,889.35,0
185,30.78,23.72,26.63,23.89,11,265.97,442.26,898.25,0
186,23.85,24.28,22.11,23.95,10,266.48,466.21,907.23,0
187,18.43,25.62,22.04,25.90,9,266.42,492.10,916.30,0
188,15.86,23.80,15.54,23.56,8,264.88,515.67,925.46,0
189,23.65,25.08,24.26,22.63,7,265.19,538.30,934.72,0
190,19.65,23.26,19.78,23.54,6,264.12,561.84,944.07,0
191,19.18,22.41,15.72,24.34,5,264.94,586.18,953.51,0
192,20.40,23.55,20.22,23.13,4,266.79,609.30,963.04,0
193,28.58,23.64,24.47,24.72,3,267.56,634.02,972.67,0
194,27.60,23.88,20.10,24.42,2,268.31,658.44,982.40,0
195,27.89,24.33,20.13,24.54,1,268.87,682.98,992.22,0
196,30.25,22.59,21.54,25.28,1,273.61,708.26,992.05,0
197,31.19,24.36,27.07,25.26,1,277.28,733.52,991.87,0
198,30.67,24.44,25.51,23.70,1,275.23,757.22,991.68,0
199,33.00,23.61,26.93,24.15,1,274.68,781.37,991.50,0
200,40.42,23.81,30.93,24.52,1,272.53,805.89,991.32,0
201,31.93,24.80,30.17,22.23,5,272.98,828.12,951.72,0
202,25.22,25.48,20.09,23.94,4,273.00,852.06,961.24,0
203,26.18,25.46,23.10,23.57,3,272.26,875.63,970.85,0
204,25.61,25.20,17.56,21.85,2,271.49,897.48,980.56,0
205,35.22,24.95,31.26,21.14,1,270.91,918.61,990.36,0
206,30.73,25.17,23.75,23.84,2,265.03,942.45,980.17,0
207,30.44,26.89,26.29,24.61,1,263.85,967.07,989.97,0
208,24.58,24.29,20.09,23.97,1,261.31,991.03,989.77,0
209,25.51,22.25,21.82,24.37,1,265.34,1015.40,989.57,0
210,25.51,24.23,21.18,23.81,1,267.87,1039.21,989.36,0
211,27.58,22.92,25.32,21.37,1,271.36,1060.58,989.16,0
212,26.64,21.84,22.16,21.72,1,270.64,1082.30,988.95,0
213,31.69,22.66,25.74,21.00,1,273.34,1103.30,988.74,0
214,31.16,24.25,25.38,23.12,1,272.36,1126.42,988.52,0
215,31.80,24.32,24.76,22.73,1,271.67,1149.15,988.31,0
216,34.57,23.92,26.22,22.61,1,271.61,1171.76,988.09,0
217,30.45,21.76,24.59,25.18,1,269.92,1196.94,987.87,0
218,26.78,21.78,21.62,24.59,1,269.87,1221.53,987.65,0
219,34.54,23.92,27.02,26.95,1,273.07,1248.48,987.43,0
220,32.79,24.86,25.67,26.86,1,270.66,1275.34,987.20,0
221,29.33,24.36,25.40,26.34,1,269.49,1301.67,986.98,0
222,31.03,25.04,24.58,27.02,3,273.12,1328.69,966.84,0
223,26.21,26.24,21.67,26.63,2,272.88,1355.33,976.51,0
224,23.12,24.30,18.31,24.95,1,271.31,1380.28,986.28,0
225,21.40,23.86,16.50,25.71,1,278.30,1405.99,986.04,0
226,27.70,23.35,18.71,25.64,1,287.98,1143.65,985.80,1
227,32.21,22.13,26.89,26.73,1,296.20,874.17,985.56,1
228,32.80,22.99,26.59,25.72,1,296.23,603.66,985.31,1
229,36.02,24.31,29.18,27.00,1,296.61,334.05,985.07,1
