# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 0.000
af,ar,code,cumb
0.00,0.00,1.00,25589.47
0.00,0.00,2.00,26833.19
0.00,0.00,3.00,24218.58
0.00,1.00,1.00,23763.34
0.00,1.00,2.00,25524.14
0.00,1.00,3.00,21073.40
1.00,0.00,1.00,23706.08
1.00,0.00,2.00,23929.75
1.00,0.00,3.00,24164.03
1.00,1.00,1.00,24459.59
1.00,1.00,2.00,25065.60
1.00,1.00,3.00,23838.81
