# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# code: 1.000,2.000,3.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 1.000
af,ar,code,cumb
0.00,0.00,1.00,20710.87
0.00,0.00,2.00,21861.72
0.00,0.00,3.00,19461.46
0.00,0.00,8.00,5468.10
0.00,0.00,9.00,25164.85
0.00,1.00,1.00,18929.52
0.00,1.00,2.00,21901.00
0.00,1.00,3.00,15317.60
0.00,1.00,8.00,7930.44
0.00,1.00,9.00,24097.10
1.00,0.00,1.00,18687.97
1.00,0.00,2.00,18190.08
1.00,0.00,3.00,22207.52
1.00,0.00,8.00,6493.81
1.00,0.00,9.00,23315.13
1.00,1.00,1.00,19904.66
1.00,1.00,2.00,20458.77
1.00,1.00,3.00,19320.58
1.00,1.00,8.00,7730.36
1.00,1.00,9.00,24340.58
