# delta is bumped up to be equal to rho (0.1)
# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.100
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 1.000
# intrate: 0.000
# code: 1.000,2.000,3.000,8.000,9.000
af,ar,code,cumb
0.00,0.00,1.00,1567.74
0.00,0.00,2.00,1696.88
0.00,0.00,3.00,1487.70
0.00,0.00,8.00,564.89
0.00,0.00,9.00,2241.25
0.00,1.00,1.00,1470.18
0.00,1.00,2.00,1866.46
0.00,1.00,3.00,740.86
0.00,1.00,8.00,440.12
0.00,1.00,9.00,2274.54
1.00,0.00,1.00,1435.29
1.00,0.00,2.00,1148.07
1.00,0.00,3.00,1876.56
1.00,0.00,8.00,432.37
1.00,0.00,9.00,2126.73
1.00,1.00,1.00,1497.63
1.00,1.00,2.00,1576.93
1.00,1.00,3.00,1404.14
1.00,1.00,8.00,487.58
1.00,1.00,9.00,2232.61
