# interest rate is 0.1
# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 1.000
# intrate: 0.100
# code: 1.000,2.000,3.000,8.000,9.000
af,ar,code,cumb
0.00,0.00,1.00,20641.72
0.00,0.00,2.00,21988.70
0.00,0.00,3.00,19395.09
0.00,0.00,8.00,5519.26
0.00,0.00,9.00,25165.78
0.00,1.00,1.00,19122.67
0.00,1.00,2.00,21805.33
0.00,1.00,3.00,15389.38
0.00,1.00,8.00,7820.06
0.00,1.00,9.00,24000.72
1.00,0.00,1.00,18893.40
1.00,0.00,2.00,17933.91
1.00,0.00,3.00,22030.22
1.00,0.00,8.00,6547.00
1.00,0.00,9.00,23383.95
1.00,1.00,1.00,19869.09
1.00,1.00,2.00,20369.45
1.00,1.00,3.00,19303.75
1.00,1.00,8.00,7655.20
1.00,1.00,9.00,24417.85
