# higher interest rate for the fund
# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 25.000
# xbsig2: 2.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 1.000
# intrate: 0.500
# code: 1.000,2.000,3.000,9.000
af,ar,code,cumb
0.00,0.00,1.00,20683.32
0.00,0.00,2.00,21986.80
0.00,0.00,3.00,19425.57
0.00,0.00,9.00,25196.76
0.00,1.00,1.00,18934.87
0.00,1.00,2.00,21896.98
0.00,1.00,3.00,15414.15
0.00,1.00,9.00,24042.12
1.00,0.00,1.00,18895.51
1.00,0.00,2.00,18069.58
1.00,0.00,3.00,22122.99
1.00,0.00,9.00,23321.36
1.00,1.00,1.00,19993.53
1.00,1.00,2.00,20402.88
1.00,1.00,3.00,19437.75
1.00,1.00,9.00,24328.72
