# lower donation amount
# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.900
# xb0r: 12.000,21.000
# xbsig2: 2.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 1.000
# intrate: 0.000
# code: 1.000,2.000,3.000,9.000
af,ar,xb0r,code,cumb
0.00,0.00,12.00,1.00,9890.71
0.00,0.00,12.00,2.00,10451.32
0.00,0.00,12.00,3.00,9419.84
0.00,0.00,12.00,9.00,12054.90
0.00,0.00,21.00,1.00,17385.53
0.00,0.00,21.00,2.00,18292.38
0.00,0.00,21.00,3.00,16334.66
0.00,0.00,21.00,9.00,21124.64
0.00,1.00,12.00,1.00,8851.66
0.00,1.00,12.00,2.00,10187.09
0.00,1.00,12.00,3.00,7508.79
0.00,1.00,12.00,9.00,11511.59
0.00,1.00,21.00,1.00,16033.56
0.00,1.00,21.00,2.00,18129.82
0.00,1.00,21.00,3.00,13028.21
0.00,1.00,21.00,9.00,20155.37
1.00,0.00,12.00,1.00,9055.65
1.00,0.00,12.00,2.00,8845.98
1.00,0.00,12.00,3.00,10601.66
1.00,0.00,12.00,9.00,11177.10
1.00,0.00,21.00,1.00,15808.60
1.00,0.00,21.00,2.00,15319.55
1.00,0.00,21.00,3.00,18420.03
1.00,0.00,21.00,9.00,19620.21
1.00,1.00,12.00,1.00,9533.95
1.00,1.00,12.00,2.00,9673.21
1.00,1.00,12.00,3.00,9331.43
1.00,1.00,12.00,9.00,11669.56
1.00,1.00,21.00,1.00,16699.07
1.00,1.00,21.00,2.00,17064.79
1.00,1.00,21.00,3.00,16250.43
1.00,1.00,21.00,9.00,20423.54
