# scenario 1-4 budget correlated to economy
# timeline: 800.000
# a: 0.800
# x0r: 30.000
# xsig2: 10.000
# lf: 0.700
# af: 0.000,1.000
# xf0r: 25.000
# xfsig2: 2.000
# lr: 0.700
# ar: 0.000,1.000
# xr0r: 25.000
# xrsig2: 2.000
# lb: 0.700
# ab: 0.000
# xb0r: 25.000
# xbsig2: 2.000
# al: 1.000
# be: 1.000
# godsimnum: 1000.000
# period: 10.000
# lag: 0.000
# A: 1.000
# burnin: 201.000
# cvalth: 0.000
# simtime: 300.000
# fund: 0.000
# cumb: 0.000
# bfn: 1.000
# rho: 0.100
# del: 0.010
# efmu: 0.000
# efsig2: 0.000
# ermu: 0.000
# ersig2: 0.000
# ch: 0.000
# b_def: 10.000
# t_jmethod: 1.000
# intrate: 0.500
# code: 1.000,2.000,3.000,8.000,9.000,12.000,13.000
af,ar,code,cumb
0.00,0.00,1.00,20390.29
0.00,0.00,2.00,21835.38
0.00,0.00,3.00,19392.30
0.00,0.00,8.00,5630.67
0.00,0.00,9.00,24998.20
0.00,0.00,12.00,20012.03
0.00,0.00,13.00,19961.39
0.00,1.00,1.00,18177.98
0.00,1.00,2.00,21639.46
0.00,1.00,3.00,14978.09
0.00,1.00,8.00,7778.15
0.00,1.00,9.00,23934.19
0.00,1.00,12.00,16008.15
0.00,1.00,13.00,15929.06
1.00,0.00,1.00,19447.59
1.00,0.00,2.00,18712.55
1.00,0.00,3.00,22321.20
1.00,0.00,8.00,6836.84
1.00,0.00,9.00,23316.58
1.00,0.00,12.00,22170.84
1.00,0.00,13.00,22156.33
1.00,1.00,1.00,19791.44
1.00,1.00,2.00,20295.28
1.00,1.00,3.00,19535.00
1.00,1.00,8.00,7814.61
1.00,1.00,9.00,24350.82
1.00,1.00,12.00,19858.67
1.00,1.00,13.00,19817.90
